vd_salePhone,vd_serviceCode,vd_dealerName,vd_longitude,vd_address,vd_latitude,vc_name,vd_url,vd_dealerCode,vd_dealerType,vd_city,vd_province,vd_postCode,vd_fax,vp_name,vd_id
0757-88020888,,佛山市瀚众汽车贸易服务有限公司,113.0127,佛山市禅城区南庄镇紫洞璐南庄三中以北200米,23.0007,佛山,,S744067,1,40,5,528061,,G 广东,736
0757-85660030,,佛山市广物君乐汽车销售服务有限公司,113.178408,佛山市南海区里水镇佛山一环东侧水口路出口广佛汽车城内,23.177243,佛山,,S744074,1,40,5,,,G 广东,1009
0757-66820888,,佛山时利和众联汽车销售服务有限公司,112.923313,佛山市南海区狮山镇狮岭村马二经济社上凼地段之一,23.155464,佛山,,S744073,1,40,5,,,G 广东,1016
0768-2981491,,潮州市通达汽车贸易有限公司,116.622645,潮州市湘桥区潮州大道泰安路,23.670357,潮州,,S744018,1,41,5,521031,,G 广东,136
0763-3856699,,清远南方合众汽车销售服务有限公司,113.028177,清远市清城区人民路与二桥引道交接处,23.68409,清远,,S744052,1,236,5,511515,,G 广东,553
0762-6791888,,河源市德宝汽车贸易有限公司,114.723234,河源市东环路河源市超然汽车市场内,23.702030,河源,,S744054,1,283,5,517475,,G 广东,659
0753-8662888,,梅州市新宇汽车销售服务有限公司,116.068242,广东省梅县扶大高新区广梅南路286号,24.285959,梅州,,S744055,1,286,5,514000,,G 广东,665
0662-3501111,,阳江安捷源众汽车销售服务有限公司,111.990897,阳江市江城区金山路南侧边,21.888358,阳江,,S744065,1,301,5,529500,,G 广东,754
0660-3419888-1,,汕尾市君乐汽车销售服务有限公司,115.371187,广东省汕尾市城区海汕公路浦边工业区,22.833535,汕尾,,S244001,1,339,5,,,G 广东,893
0771-3220555,,广西鑫广达长久汽车商贸有限公司,108.278116,南宁市科园大道55号,22.864581,南宁,,S745015,1,24,4,530003,,G 广西,268
0771-2869688,,广西鑫广达博冠汽车销售服务有限公司,108.399071,广西南宁市兴宁区昆仑大道116号大盆坡,22.87513,南宁,,S745021,1,24,4,,,G 广西,901
0771-4920456,,广西弘捷汽车销售服务有限公司,109.44469,广西南宁市江南区南站大道北侧汽车城,24.29297,南宁,,S945001,1,24,4,,,G 广西,1060
0773-2662666,,桂林鑫广达汽车销售服务有限责任公司,110.321519,桂林市灵川县八里街经济开发区桂林大西南汽车城区八里七路,25.359571,桂林,,S745014,1,25,4,541213,,G 广西,379
0773-7998863,,桂林长久博众汽车销售服务有限公司,110.174587,桂林市临桂县临桂镇机场路北侧真龙物流园内,25.27043,桂林,,S745024,1,25,4,,,G 广西,1004
