坑ID,Name,DealersID,AddressArea,Province,City,Area,Address,BaiduMapLng,BaiduMapLat,Telphone,BusinessHours,Sites,SiteID,Brand,CanTestDrive,cars,ShopSaleTel,ShopID
1279,长治市明瑞汽车销售服务有限公司,长治市明瑞汽车销售服务有限公司,,山西省,长治市,郊区,山西省长治市郊区西二环路小庄村口,113.0656967,36.19509888,,8:00-18:30,0,0,长城%2c哈弗,1,"125,126,522",3556012403,14040
1056,常德湘盛汽车销售服务有限公司,常德湘盛汽车销售服务有限公司,,湖南省,常德市,武陵区,湖南省常德市武陵区南坪街道办事处竹根潭社区龙港路与三星路交汇处,111.6819,29.07961082,,8:30-17:30,0,0,长城%2c哈弗,1,"125,126,522,44,411",0736-7122588,43070
1109,常熟市常通汽车销售服务有限公司,常熟市常通汽车销售服务有限公司,,江苏省,苏州市,常熟市,江苏省常熟市青墩塘路188号A区5幢(东三环与204国道交叉口),120.8015976,31.64307976,,8:00-17:00,0,0,长城%2c哈弗,1,"125,126,522,44,411",0512-52303111,32050
872,潮州市通达汽车贸易有限公司,潮州市通达汽车贸易有限公司,,广东省,潮州市,市辖区,广东省潮州市枫溪区古板头新渠路11-13号,116.6120987,23.6377697,,8:50-18:00,0,0,长城%2c哈弗,1,"125,126,522,44,411",0768-6881688,44510
1303,成都新耀汽车销售服务有限公司,成都新耀汽车销售服务有限公司,,四川省,成都市,龙泉驿区,成都经济技术开发区南一路999号,104.2003021,30.56258965,,8:45--17:30,0,0,长城%2c哈弗,1,,028-65076262,51011
952,承德市庞大物流仓储有限责任公司,承德市庞大物流仓储有限责任公司,,河北省,承德市,双桥区,承德市双桥区大石庙镇太平庄庞大汽车城,117.9877014,40.89509964,,8:00-18:00,0,0,长城%2c哈弗,1,"125,126,522,44,411",0314-2101286/0314-2122106,13080
1173,赤峰安舵商贸有限公司,赤峰安舵商贸有限公司,内蒙古自治区%3a赤峰市%3a393,内蒙古自治区,赤峰市,,赤峰市赤锡路116号,118.9440002,42.32120132,,9:00-17:00,0,0,长城%2c哈弗,1,"125,126,522,44,411",0476-8773338,15040
1359,楚雄超达鸿云汽车销售服务有限公司,楚雄超达鸿云汽车销售服务有限公司,,云南省,楚雄彝族自治州,楚雄市,云南省楚雄州楚雄市鹿城镇河前社区下三村,101.5737991,25.03977013,,8:30--18:00,0,0,长城%2c哈弗,1,,0878-3871688,53230
959,大城县乐达汽车销售有限公司,大城县乐达汽车销售有限公司,,河北省,廊坊市,大城县,河北省廊坊市大城县廊泊路西侧兴庄东侧,116.6456985,38.67258072,,8:00-18:00,0,0,长城%2c哈弗,1,"125,126,522,44,411",0316-8066979,13100
1361,大理超达汽车贸易有限公司,大理超达汽车贸易有限公司,,云南省,大理白族自治州,大理市,云南省大理市凤仪镇祥云路（凤仪创新工业园区）,100.3181992,25.59079933,,8:30-18:00,0,0,长城%2c哈弗,1,,0872-2329111,53290
